id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,pessoas,mortos,feridos,feridos_leves,feridos_graves,veiculos,latitude,longitude
691804,2025-03-15,sábado,12:30:00,ES,101,67,SAO MATEUS,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Sol,Simples,Rotatória,4,0,2,0,2,4,"-18,72802869","-39,85997558"
704622,2025-07-13,domingo,22:30:00,PE,423,"74,1",JUPI,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Sem Vítimas,Plena Noite,Céu Claro,Simples,Aclive;Reta,2,0,0,0,0,2,"-8,7160879","-36,4219923"
663260,2025-02-23,domingo,18:10:00,BA,242,231,ITABERABA,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Céu Claro,Simples,Reta,1,0,1,1,0,1,"-12,511706","-40,324247"
667036,2025-03-13,quinta-feira,19:55:00,DF,20,"9,9",BRASILIA,Reação tardia ou ineficiente do condutor,Engavetamento,Com Vítimas Feridas,Plena Noite,Céu Claro,Dupla,Reta,6,0,4,4,0,3,"-15,6502715","-47,7763723"
660353,2025-02-09,domingo,19:05:00,MA,222,665,ACAILANDIA,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Céu Claro,Simples,Declive,3,0,2,1,1,3,"-4,89367779","-47,38426513"
696557,2025-06-07,sábado,17:30:00,TO,10,"458,1",PALMAS,Retorno proibido,Colisão traseira,Com Vítimas Feridas,Pleno dia,Céu Claro,Dupla,Reta,2,0,1,1,0,2,"-10,275954","-48,302608"
664451,2025-03-01,sábado,08:30:00,MG,381,"768,7",CAMPANHA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Céu Claro,Dupla,Reta,5,0,1,0,1,4,"-21,754288","-45,400016"
704059,2025-07-11,sexta-feira,14:27:00,MA,230,"96,8",SAO JOAO DOS PATOS,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Céu Claro,Simples,Reta,2,1,0,0,0,2,"-6,488595","-43,729507"
723626,2025-10-08,quarta-feira,16:20:00,ES,101,212,IBIRACU,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Céu Claro,Simples,Reta,2,0,1,1,0,2,"-19,820575","-40,368742"
667362,2025-03-15,sábado,08:30:00,RJ,101,"422,1",MANGARATIBA,Velocidade Incompatível,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Nublado,Simples,Reta,2,0,2,0,2,2,"-22,9183154","-43,9478571"
723451,2025-10-07,terça-feira,16:20:00,RJ,40,122,DUQUE DE CAXIAS,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Nublado,Múltipla,Reta,2,0,1,1,0,2,"-22,79276","-43,28658"
662859,2025-02-22,sábado,02:00:00,PR,277,267,PRUDENTOPOLIS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Céu Claro,Simples,Curva,1,0,0,0,0,1,"-25,40234446","-50,79872131"
708393,2025-07-31,quinta-feira,07:30:00,RS,293,87,PORTO ALEGRE,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Céu Claro,Múltipla,Reta,1,0,1,0,1,1,"-29,96861682","-51,12264633"
662893,2025-02-22,sábado,09:00:00,PE,101,45,IGARASSU,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Pleno dia,Céu Claro,Dupla,Reta,3,0,1,1,0,3,"-7,86702","-34,90677"
702723,2025-07-05,sábado,17:20:00,PB,230,152,CAMPINA GRANDE,Demais falhas na via,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Nublado,Simples,Em Obras;Reta,2,0,1,1,0,1,"-7,2697811","-35,8861591"
701455,2025-06-29,domingo,18:00:00,MT,70,235,POXOREU,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Plena Noite,Céu Claro,Simples,Reta;Em Obras,5,2,2,0,2,2,"-15,63047641","-53,98287724"
695128,2025-06-01,domingo,12:15:00,PR,277,"588,3",CASCAVEL,Mal súbito do condutor,Colisão frontal,Com Vítimas Feridas,Pleno dia,Céu Claro,Simples,Reta,4,0,2,2,0,5,"-24,9768198","-53,447691"
715315,2025-08-31,domingo,19:20:00,PE,423,22,SAO CAITANO,Ingestão de álcool pelo condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Nublado,Simples,Reta,1,0,1,0,1,1,"-8,36181","-36,17233"
727589,2025-10-26,domingo,07:00:00,BA,367,23,PORTO SEGURO,Acesso irregular,Colisão transversal,Com Vítimas Feridas,Pleno dia,Céu Claro,Simples,Reta,3,0,1,1,0,2,"-16,4046249","-39,1754171"
715991,2025-09-04,quinta-feira,06:45:00,CE,222,"301,3",TIANGUA,Ultrapassagem Indevida,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Céu Claro,Simples,Curva,3,0,2,2,0,2,"-3,694","-40,981"
